XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
549.711267,92.823643
550.675673,92.624651
551.640078,92.247850
552.604484,92.316543
553.568890,92.151110
554.533295,91.758226
555.497701,91.690294
556.462107,92.352594
557.426513,92.974604
558.390918,93.028324
559.355324,93.079704
560.319730,92.832095
561.284136,92.025408
562.248541,91.877601
563.212947,92.978176
564.177353,93.427809
565.141758,92.678259
566.106164,92.330113
567.070570,92.002251
568.034976,91.196486
568.999381,90.838388
569.963787,91.022125
570.928193,91.268526
571.892599,91.703456
572.857004,92.083270
573.821410,91.679646
574.785816,91.522008
575.750222,92.363759
576.714627,92.870665
577.679033,92.757172
578.643439,92.616974
579.607844,92.575687
580.572250,92.704673
581.536656,92.775612
582.501062,92.629293
583.465467,92.367881
584.429873,92.189107
585.394279,92.128014
586.358685,91.932417
587.323090,91.563564
588.287496,91.299747
589.251902,91.116416
590.216307,90.660829
591.180713,90.059634
592.145119,89.648241
593.109525,89.393952
594.073930,89.202286
595.038336,88.936402
596.002742,88.529550
596.967148,88.091659
597.931553,87.590986
598.895959,87.096382
599.860365,86.844387
600.824771,86.667337
601.789176,86.340403
602.753582,85.938444
603.717988,85.457657
604.682393,84.996676
605.646799,84.486295
606.611205,83.684417
607.575611,82.616391
608.540016,81.037812
609.504422,78.955450
610.468828,76.875955
611.433234,74.970481
612.397639,73.050995
613.362045,70.731279
614.326451,68.943200
615.290857,69.980490
616.255262,74.283060
617.219668,79.926912
618.184074,84.867772
619.148479,88.151627
620.112885,90.179302
621.077291,91.581688
622.041697,92.500964
623.006102,93.094572
623.970508,93.515268
624.934914,93.922630
625.899320,94.312508
626.863725,94.455465
627.828131,94.597047
628.792537,94.909299
629.756942,95.090937
630.721348,95.225296
631.685754,95.365491
632.650160,95.250569
633.614565,95.017372
634.578971,94.877396
635.543377,94.797300
636.507783,94.759761
637.472188,94.718964
638.436594,94.671296
639.401000,94.646277
640.365406,94.671548
641.329811,94.763211
642.294217,94.747265
643.258623,94.612236
644.223028,94.566367
645.187434,94.583136
646.151840,94.603020
647.116246,94.613959
648.080651,94.585151
649.045057,94.579465
650.009463,94.558890
650.973869,94.523954
651.938274,94.538313
652.902680,94.486111
653.867086,94.364632
654.831491,94.305651
655.795897,94.287616
656.760303,94.236847
657.724709,94.188562
658.689114,94.172097
659.653520,94.151124
660.617926,94.131721
661.582332,94.094909
662.546737,94.040829
663.511143,94.017311
664.475549,93.979423
665.439955,93.899137
666.404360,93.784636
667.368766,93.662596
668.333172,93.619886
669.297577,93.590283
670.261983,93.451546
671.226389,93.268972
672.190795,93.123171
673.155200,92.981580
674.119606,92.843252
675.084012,92.743741
676.048418,92.678910
677.012823,92.636057
677.977229,92.619062
678.941635,92.658563
679.906040,92.752315
680.870446,92.859633
681.834852,92.979923
682.799258,93.090973
683.763663,93.160069
684.728069,93.203217
685.692475,93.228395
686.656881,93.255209
687.621286,93.325624
688.585692,93.418564
689.550098,93.475333
690.514504,93.530550
691.478909,93.597923
692.443315,93.592092
693.407721,93.567249
694.372126,93.605157
695.336532,93.631128
696.300938,93.621675
697.265344,93.596069
698.229749,93.536448
699.194155,93.506451
700.158561,93.551112
701.122967,93.555582
702.087372,93.484789
703.051778,93.446010
704.016184,93.396075
704.980590,93.286331
705.944995,93.207179
706.909401,93.158835
707.873807,93.091889
708.838212,93.016127
709.802618,92.943523
