XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
549.711267,90.951056
550.675673,91.120474
551.640078,91.631357
552.604484,92.134027
553.568890,92.550779
554.533295,93.102170
555.497701,93.632272
556.462107,93.420457
557.426513,92.973557
558.390918,92.744963
559.355324,92.885313
560.319730,93.441309
561.284136,93.547639
562.248541,93.141972
563.212947,92.890544
564.177353,92.884591
565.141758,92.451219
566.106164,91.568693
567.070570,91.375473
568.034976,91.812993
568.999381,92.213896
569.963787,92.336462
570.928193,92.020330
571.892599,91.802475
572.857004,91.929322
573.821410,92.314749
574.785816,92.747641
575.750222,92.616928
576.714627,92.328034
577.679033,92.447693
578.643439,92.473418
579.607844,92.223747
580.572250,92.196233
581.536656,92.420940
582.501062,92.493595
583.465467,92.382599
584.429873,92.286349
585.394279,92.110314
586.358685,91.751747
587.323090,91.446309
588.287496,91.156993
589.251902,90.680807
590.216307,90.207918
591.180713,89.888850
592.145119,89.750575
593.109525,89.427032
594.073930,88.762293
595.038336,88.465187
596.002742,88.431394
596.967148,87.975236
597.931553,87.317994
598.895959,86.808475
599.860365,86.418341
600.824771,86.061683
601.789176,85.597622
602.753582,84.990208
603.717988,84.442460
604.682393,83.893198
605.646799,83.040806
606.611205,81.870978
607.575611,80.205254
608.540016,77.913853
609.504422,75.324209
610.468828,72.643081
611.433234,70.050996
612.397639,67.412971
613.362045,64.402526
614.326451,62.349657
615.290857,63.877282
616.255262,69.571597
617.219668,76.782508
618.184074,82.565838
619.148479,86.312257
620.112885,88.742630
621.077291,90.386909
622.041697,91.533604
623.006102,92.354795
623.970508,93.050360
624.934914,93.643857
625.899320,93.990661
626.863725,94.236349
627.828131,94.551035
628.792537,94.815945
629.756942,94.909395
630.721348,94.933113
631.685754,95.031364
632.650160,95.081328
633.614565,94.945731
634.578971,94.849903
635.543377,94.914739
636.507783,94.927314
637.472188,94.862526
638.436594,94.840029
639.401000,94.850612
640.365406,94.838083
641.329811,94.781533
642.294217,94.775448
643.258623,94.818059
644.223028,94.811313
645.187434,94.763621
646.151840,94.704009
647.116246,94.704301
648.080651,94.757281
649.045057,94.756515
650.009463,94.695713
650.973869,94.605513
651.938274,94.539192
652.902680,94.505610
653.867086,94.465219
654.831491,94.447395
655.795897,94.449313
656.760303,94.437843
657.724709,94.406192
658.689114,94.359591
659.653520,94.321031
660.617926,94.298930
661.582332,94.293128
662.546737,94.273049
663.511143,94.232702
664.475549,94.211768
665.439955,94.177082
666.404360,94.126155
667.368766,94.029013
668.333172,93.790818
669.297577,93.586100
670.261983,93.523194
671.226389,93.446180
672.190795,93.331575
673.155200,93.196007
674.119606,93.015409
675.084012,92.852384
676.048418,92.753879
677.012823,92.737557
677.977229,92.765841
678.941635,92.786749
679.906040,92.846128
680.870446,92.973129
681.834852,93.090225
682.799258,93.157263
683.763663,93.230158
684.728069,93.295054
685.692475,93.325565
686.656881,93.371017
687.621286,93.428955
688.585692,93.490720
689.550098,93.564093
690.514504,93.594850
691.478909,93.572392
692.443315,93.577628
693.407721,93.587345
694.372126,93.534339
695.336532,93.525087
696.300938,93.580986
697.265344,93.572678
698.229749,93.529335
699.194155,93.528790
700.158561,93.528280
701.122967,93.467050
702.087372,93.369101
703.051778,93.293505
704.016184,93.207651
704.980590,93.098634
705.944995,93.031843
706.909401,92.999389
707.873807,92.963209
708.838212,92.903672
709.802618,92.811706
